tweet_id,customer_text,intent,escalation,escalation_reason,label_source
2911734,iOS 11.1.2 draining battery life. Last almost a day from full charge. Half as long when compared to previous iOS. Please sort.,BATTERY_POWER,no,,human
2942126,Because nowadays we pay $800+ for phones to last us 2 years. There's so many battery issues and now it's charging without a charger.,BATTERY_POWER,no,,human
2485674,"what is the official recommendation for leaving an iPhone X on a wireless charging pad (like in a desk set up) for extended periods of time? Is it bad for the battery to be constantly topped off, or is charger/phone smart? Looking at the Mophie in the Apple Store.",BATTERY_POWER,no,,human
2121055,11.0.3 giving me feeling like i'm using android phone..battery draining too fast as compared to ios 10.3.3. gets hot when put on charge. IOS 10.3.3 was best according to me. using iphone se,BATTERY_POWER,no,,human
2425815,"My computer charger doesn't work very well (the cord was chewed by my cat) only works if the cord is held at a specific angle, and if it disconnects my computer just shuts off. But I can turn it back on and it's capable of running on battery power for a few hours. whyyyyyy",DEVICE_PERFORMANCE,no,,human
2812628,"I have a problem with the iPhone X battery, when I charge it .. Charging for very little time. What is the solution?",BATTERY_POWER,no,,human
2680020,My iPhone takes forever to charge but the battery dies within an hour or 2?,BATTERY_POWER,no,,human
2147785,when getting a new iphone what is the best thing to do for the battery? use it till it fully dies than full charge or charge fully before use? or?,BATTERY_POWER,no,,human
1829193,"charged my iPhone around 12:30am with 35% woke up this morning, DRAINED MY BATTERY INSTEAD OF CHARGING IT!! #FixThisASAP",BATTERY_POWER,no,,human
553474,"Not what was wrong. I reset phone, holding power and volume, more than 3 times. Then my phone went from 100% battery to 10% & dying in 3hrs. I didn’t plug charger letting it drain. Plugged in charger, it started charging and now it’s not locking me out",BATTERY_POWER,no,,human
146683,"IOS 11.1.2 battery draining is shitting on me. My iPhone 6S’ battery literally goes from 70% to 30% in minutes, and to make it worse, it takes over 4 hours to fully charge.",BATTERY_POWER,no,,human
2406560,"Hey Apple, so my IPhone X frequently doesn't connect with my carrier. It shows full cellular phone bars and internet connection but I cant call nor my cellular internet works. This happens frequently. The phone is like 1 week new. Please help!",CONNECTIVITY,no,,auto_provisional
1878001,#IOS11 is the worst update ever! Apps don’t work when on wifi & Bluetooth connections stop if I touch my phone. sort it out!,CONNECTIVITY,no,,auto_provisional
2213578,Wow update bricked my phone basically don’t get internet signal unless on wifi,CONNECTIVITY,no,,auto_provisional
1645797,my data wheel will not stop spinning. All apps closed. Good connection to WiFi and cellular. Please help,CONNECTIVITY,no,,auto_provisional
1638757,Same here. And now I don’t have internet connection unless connected to WiFi thanks a lot. #thisupdatesucks,CONNECTIVITY,no,,auto_provisional
1296680,My phone doesn't like to load any app data or anything when on WiFi. Only on cellular. Restored and tried multiple networks,CONNECTIVITY,no,,auto_provisional
208951,Yo WTF is with this auto WiFi and Bluetooth connection... it’s mad annoying!!!,CONNECTIVITY,no,,auto_provisional
2352122,cellular signal has been super unreliable on #AppleWatchSeries3 Smh What am I paying for? Can't use if I have no signal. #redxonapplewatchallday #nowifinouse,CONNECTIVITY,no,,auto_provisional
2621266,"iPhone 8 AirDrop problem! Tried every single method on the internet no joy! Turn old iPho 6 on instant connection! all setting exactly the same. Reset network connections, Logged out/in iCloud, reset all BT and wifi settings on iMac late 2013, and iPho on ios11.1.2",CONNECTIVITY,no,,auto_provisional
1083350,it says i have no internet connection but it shows wifi is connected and still does nothing on cellular data... using an iphone se,CONNECTIVITY,no,,auto_provisional
870229,can't download apps on iOS 11.0.3 iPhone 7 on wifi or cellular (full bars LTE).,CONNECTIVITY,no,,auto_provisional
58849,"4G. In fact, my internet connection was used to create this tweet at the time so I have to assume the network was not the cause.",CONNECTIVITY,no,,auto_provisional
120682,"My Apple Watch is still not connecting to Wi-Fi. Did everything: forgetting & reconnecting iPhone Wi-Fi, shutting-off devices & Bluetooth, repairing... Wi-Fi network is 2,4Ghz and 11b/g/n. Called French . They were so lost I decided to get another coffee ☕️. Help?",CONNECTIVITY,no,,auto_provisional
699564,"I don’t know what to do. I upgraded my iOS last night and lost WiFi connections. I can see them. Strong signal. Rebooted, reset everything. Nothing helps.",CONNECTIVITY,no,,auto_provisional
2449498,"Wish #Apple would remember what I had on, before I turned on the #AirplaneMode. Now, once I goto AirplaneMode & later switch it off, then by default, #iPhone switches on WiFi,Bluetooth & CellularData. #iOS11 #userexperience #uxdesign",CONNECTIVITY,no,,auto_provisional
1366346,"Dear , why is my IOS 11 update slowing my phone down & keep turning on my WiFi & Bluetooth & changing my cellular LTE off?",CONNECTIVITY,no,,auto_provisional
2293536,Its definitely my home wifi. I cant rule out cellular or other wifi networks being an issue but its definitely regularly happening with loading my twitter feed.,CONNECTIVITY,no,,auto_provisional
2309872,i have both tried with a wifi connection or using cellular data and tried typing the password myself but nothing seems to work,CONNECTIVITY,no,,auto_provisional
1141095,"7 plus, cellular connection. 4 bars & LTE, still won’t load",CONNECTIVITY,no,,auto_provisional
2646254,"hey, got two lost phone calls from (512) 674-2000 that is you right?",CALLS_COMMUNICATION,no,,auto_provisional
2799476,"#Siri and I have always had issues. I was driving and I told her to call someone. No, she didn’t call the person on the phone. She kept calling out the person’s name over and over and over. She is such a smart aleck.",CALLS_COMMUNICATION,no,,auto_provisional
2730325,good morning. My visual voicemail disappeared this morning and I’m now being asked to call my voicemail.,CALLS_COMMUNICATION,no,,auto_provisional
2894808,"My bluetooth was off, i checked (pull down top right) and I had been getting notifications and phone calls on my apple watch. WTH .",CALLS_COMMUNICATION,no,,auto_provisional
2894757,"i just get a this message ""You will receive a text or a phone call at this number when your account is ready to recover on 11 December 2017 at 21:52:39 GMT+5.50. For updated status information or to provide additional information to help recover your account""but never got a call.",CALLS_COMMUNICATION,no,,auto_provisional
2869706,"and above that the phone call ended and u couldn't even call me back and when i phoned again i had to explain it all over... and then the conexion was lost, AGAIN... so not happy with apple",CALLS_COMMUNICATION,no,,auto_provisional
1571715,So my FaceTime is working but phone calls or voice notes are not. Why is this ???? Do you realise how inconvenient this is for a girl,CALLS_COMMUNICATION,no,,auto_provisional
62256,Why my iMessage & FaceTime keep saying is waiting fo activation 😩 help me out,CALLS_COMMUNICATION,no,,auto_provisional
2520777,My LTE works fine but when I connect to WIFI and then leave that location is no longer works. I can make calls and SMS but apps and iMessage no longer work. I have tried all the work-arounds. It is either an iOS issue or a hardware issue,CALLS_COMMUNICATION,no,,auto_provisional
1450121,"I’m on iPhone 6 Plus (newest software). Reset most things and it won’t connect. Can only SMS and call, no iMessage or FaceTime.",CALLS_COMMUNICATION,no,,auto_provisional
1882758,I can’t make phone calls anymore thanks to ios11 so I have to facetime everyone,CALLS_COMMUNICATION,no,,auto_provisional
