tweet_id,customer_text,intent,escalation,escalation_reason,label_source
2911734,iOS 11.1.2 draining battery life. Last almost a day from full charge. Half as long when compared to previous iOS. Please sort.,BATTERY_POWER,no,,human
2942126,Because nowadays we pay $800+ for phones to last us 2 years. There's so many battery issues and now it's charging without a charger.,BATTERY_POWER,no,,human
2485674,"what is the official recommendation for leaving an iPhone X on a wireless charging pad (like in a desk set up) for extended periods of time? Is it bad for the battery to be constantly topped off, or is charger/phone smart? Looking at the Mophie in the Apple Store.",BATTERY_POWER,no,,human
2121055,11.0.3 giving me feeling like i'm using android phone..battery draining too fast as compared to ios 10.3.3. gets hot when put on charge. IOS 10.3.3 was best according to me. using iphone se,BATTERY_POWER,no,,human
2425815,"My computer charger doesn't work very well (the cord was chewed by my cat) only works if the cord is held at a specific angle, and if it disconnects my computer just shuts off. But I can turn it back on and it's capable of running on battery power for a few hours. whyyyyyy",DEVICE_PERFORMANCE,no,,human
2812628,"I have a problem with the iPhone X battery, when I charge it .. Charging for very little time. What is the solution?",BATTERY_POWER,no,,human
2680020,My iPhone takes forever to charge but the battery dies within an hour or 2?,BATTERY_POWER,no,,human
2147785,when getting a new iphone what is the best thing to do for the battery? use it till it fully dies than full charge or charge fully before use? or?,BATTERY_POWER,no,,human
1829193,"charged my iPhone around 12:30am with 35% woke up this morning, DRAINED MY BATTERY INSTEAD OF CHARGING IT!! #FixThisASAP",BATTERY_POWER,no,,human
553474,"Not what was wrong. I reset phone, holding power and volume, more than 3 times. Then my phone went from 100% battery to 10% & dying in 3hrs. I didn’t plug charger letting it drain. Plugged in charger, it started charging and now it’s not locking me out",BATTERY_POWER,no,,human
146683,"IOS 11.1.2 battery draining is shitting on me. My iPhone 6S’ battery literally goes from 70% to 30% in minutes, and to make it worse, it takes over 4 hours to fully charge.",BATTERY_POWER,no,,human
2406560,"Hey Apple, so my IPhone X frequently doesn't connect with my carrier. It shows full cellular phone bars and internet connection but I cant call nor my cellular internet works. This happens frequently. The phone is like 1 week new. Please help!",CONNECTIVITY,no,,human
1878001,#IOS11 is the worst update ever! Apps don’t work when on wifi & Bluetooth connections stop if I touch my phone. sort it out!,CONNECTIVITY,no,,human
2213578,Wow update bricked my phone basically don’t get internet signal unless on wifi,CONNECTIVITY,no,,human
1645797,my data wheel will not stop spinning. All apps closed. Good connection to WiFi and cellular. Please help,DEVICE_PERFORMANCE,no,,human
1638757,Same here. And now I don’t have internet connection unless connected to WiFi thanks a lot. #thisupdatesucks,CONNECTIVITY,no,,human
1296680,My phone doesn't like to load any app data or anything when on WiFi. Only on cellular. Restored and tried multiple networks,CONNECTIVITY,no,,human
2646254,"hey, got two lost phone calls from (512) 674-2000 that is you right?",CALLS_COMMUNICATION,no,,human
2799476,"#Siri and I have always had issues. I was driving and I told her to call someone. No, she didn’t call the person on the phone. She kept calling out the person’s name over and over and over. She is such a smart aleck.",CALLS_COMMUNICATION,no,,human
2730325,good morning. My visual voicemail disappeared this morning and I’m now being asked to call my voicemail.,CALLS_COMMUNICATION,no,,human
2894808,"My bluetooth was off, i checked (pull down top right) and I had been getting notifications and phone calls on my apple watch. WTH .",CONNECTIVITY,no,,human
2894757,"i just get a this message ""You will receive a text or a phone call at this number when your account is ready to recover on 11 December 2017 at 21:52:39 GMT+5.50. For updated status information or to provide additional information to help recover your account""but never got a call.",CALLS_COMMUNICATION,no,,human
2869706,"and above that the phone call ended and u couldn't even call me back and when i phoned again i had to explain it all over... and then the conexion was lost, AGAIN... so not happy with apple",CALLS_COMMUNICATION,no,,human
1571715,So my FaceTime is working but phone calls or voice notes are not. Why is this ???? Do you realise how inconvenient this is for a girl,CALLS_COMMUNICATION,no,,human
62256,Why my iMessage & FaceTime keep saying is waiting fo activation 😩 help me out,CALLS_COMMUNICATION,no,,human
2520777,My LTE works fine but when I connect to WIFI and then leave that location is no longer works. I can make calls and SMS but apps and iMessage no longer work. I have tried all the work-arounds. It is either an iOS issue or a hardware issue,CONNECTIVITY,no,,human
1450121,"I’m on iPhone 6 Plus (newest software). Reset most things and it won’t connect. Can only SMS and call, no iMessage or FaceTime.",CALLS_COMMUNICATION,no,,human
1882758,I can’t make phone calls anymore thanks to ios11 so I have to facetime everyone,CALLS_COMMUNICATION,no,,human
769556,"iPhone call app all blurry & unusable after iOS 11 update. Can’t make calls/access voicemail. Any tips to fix? Oh, and “Grrrr” to 😡",DISPLAY_AUDIO_CAMERA,no,,human
2747288,"Hey I just discovered a bug on the iPhone X (iOS 11.1.2) when you are in a FaceTime Audio call, you are not able to shutdown any applications. Its kinda annoying, i hope it gets fixed soon.",CALLS_COMMUNICATION,no,,human
2920032,", looks like there is a scammer calling your customers with spoofed Apple numbers and directing customers to call a number in San Diego. I've received three calls in less than 24hrs. Others reporting similar scam experiences. Voicemail transcript attached.",BATTERY_POWER,no,,human
2695112,back in touch ever since. Am now heading back go university where I am unable to use anyone else’s phone to make a phone call to apple support nor can I receive any calls on my phone to resolve issue. Before I was disconnected I was told it was a software issue. 2/2,CALLS_COMMUNICATION,no,,human
2575316,"Getting glitchy audio when calling with FaceTime Audio with 11.1 with AirPods. I can hear for 2 seconds, then blank, then 2 seconds again. Apparently, they can hear me, but I can’t hear them...",CALLS_COMMUNICATION,no,,human
2771891,Oh #iphone update? Let’s call it “time to mess your phone up until you buy a new one even though your phone is only 7 months old”. #letscallthiswhatitreallyis WHERE ARE MY VOICEMAILS?,CALLS_COMMUNICATION,no,,human
2771913,I’m trying to login into facetime and imessages from my iPad. I have the same error message for 3 days.,CALLS_COMMUNICATION,no,,human
2518196,Okay now all of a sudden my phone won’t even let me call anyone?? anyone that i try calling it just goes straight to voicemail and doesn’t even ring. WHAT IS GOING ON WITH U PEOPLE??,CALLS_COMMUNICATION,no,,human
2975694,Why does my iPad keep asking me to sign into iCloud every 30 seconds but when I put in my NEWLY changed password it tells me it is incorrect!!! WTF...I can't even use it right now!,ACCOUNT_ICLOUD,no,,human
2369448,"Yes I can login to appleid without any issue, icloud still go no.",ACCOUNT_ICLOUD,no,,human
249189,"I changed my AppleID login & pass, but can't sign into the app store on my iPhone 7. My iPad didn't have this problem.",ACCOUNT_ICLOUD,no,,human
2058730,My icloud account has been locked for security reasons. Even my Apple ID is locked. I can't receive my confirmation code.,ACCOUNT_ICLOUD,no,,human
2041261,Is iCloud on iOS on the fritz again?! I can't log in to any of my devices. Desktop login is ok but iOS logins are locking my account up. This sucks Apple!,ACCOUNT_ICLOUD,no,,human
1901334,I have an ICloud account but when I try to login online it asks me to set up an account. Am I doing something wrong?,ACCOUNT_ICLOUD,no,,human
